Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
27;865.548828125;809.530989074707;8;352.9917;True;2760;58.53149;824.0803;100.7612;6300132
28;872.138305664063;631.860339766741;9;361.9917;True;2760;70.94629;843.0846;83.77221;6220927
29;823.96484375;742.328200803697;10;366.0414;True;2760;68.09131;792.0562;76.82742;7665219
30;872.272705078125;671.256690054014;8;352.7254;True;2760;61.22168;833.4944;76.3407;1.777194E+07
#
Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;826.80419921875;129.789615193009;10;292.6595;True;2760;115.674;842.4781;158.2692;1694869
2;876.522827148438;210.297932744026;9;298.8155;True;2760;79.72369;856.2465;90.10522;3206893
3;849.147155761719;541.53189239502;9;297.0859;True;2760;77.67987;826.827;60.48499;1511254
4;863.822265625;668.239145690203;9;298.8155;True;2760;65.49094;829.3132;40.25982;2453965
5;847.586181640625;665.648452317715;9;297.0859;True;2760;78.26678;825.853;46.4183;2011839
6;831.26953125;652.952763390541;9;281.132;True;2760;73.55603;804.8256;51.49423;1155084
7;812.890014648438;570.319349527359;9;298.1097;True;2760;75.5274;788.4174;54.72221;434674
8;844.247924804688;639.506111803651;9;305.4523;True;2760;67.1051;811.353;43.92897;8709620
9;825.423889160156;711.156527364254;9;296.6786;True;2760;64.80713;790.231;47.60409;2466470
10;886.770751953125;842.631295776367;9;294.5159;True;2760;62.86401;849.6348;66.96311;6930693
11;815.761779785156;646.612096405029;9;301.4608;True;2760;74.57727;790.3391;31.06508;4340506
12;848.187561035156;623.250555348396;9;300.2144;True;2760;59.50989;807.6974;77.59844;9123569
13;823.517822265625;652.372968304157;9;300.2144;True;2760;69.1322;792.65;61.45328;7049561
14;854.06884765625;802.14977722168;9;298.8155;True;2760;71.7688;825.8376;20.12834;2383973
15;853.523986816406;708.413367772102;9;288.6651;True;2760;74.33105;827.855;60.98174;3172567
16;820.15283203125;706.014761352539;9;306.1495;True;2760;76.70557;796.8584;69.32716;1890032
17;900.480346679688;794.503906011581;9;310.3905;True;2760;69.27417;869.7545;4.559696;5542746
18;864.035217285156;569.999255631864;9;296.1715;True;2760;67.07813;831.1133;16.60825;2660418
19;855.638977050781;686.117477965355;9;292.0162;True;2760;68.20435;823.8433;72.9584;7850481
20;925.642211914063;688.952295786142;9;291.7874;True;2760;61.54614;887.1884;51.56217;1.017997E+07
21;931.126708984375;784.700290644169;9;301.2332;True;2760;69.42041;900.5471;44.05194;1.147409E+07
22;913.229736328125;670.0441375494;9;301.2332;True;2760;68.04492;881.2747;32.75365;3081323
23;935.199890136719;741.69638017267;9;289.6493;True;2760;69.07031;904.2702;35.93872;2321813
24;835.594482421875;607.508960986137;9;273.6953;True;2760;61.146;796.7405;33.01636;7462160
25;930.609558105469;898.138305664063;9;254.151;True;2760;63.31201;893.9216;42.44621;8127293
26;932.622802734375;803.269487428665;9;267.8521;True;2760;64.23755;896.8604;34.91438;1.528098E+07
27;818.262145996094;704.704244679213;9;276.7328;True;2760;60.88086;779.143;39.27853;5836847
28;832.258422851563;757.271636962891;8;258.8521;True;2760;73.33911;805.5975;35.55876;1.505424E+07
29;897.171691894531;779.956685686111;9;287.988;True;2760;64.48901;861.6607;14.28195;4544399
30;797.8662109375;765.637104797363;9;287.988;True;2760;75.97241;773.8386;45.78289;5497801
#
